movie,year,tmdb_link,tmdb_id,genres,normalized_title,family_id
Body and Soul,1947,https://www.themoviedb.org/movie/17487,17487,Drama,body and soul,FAM0015
Body and Soul,1981,https://www.themoviedb.org/movie/167951,167951,Drama,body and soul,FAM0015
Body and Soul,1999,https://www.themoviedb.org/movie/132785,132785,Drama,body and soul,FAM0015
Kiss of Death,1947,https://www.themoviedb.org/movie/21454,21454,"Crime, Thriller",kiss of death,FAM0016
The Fiend Who Walked the West,1958,https://www.themoviedb.org/movie/125420,125420,Western,fiend who walked the west,FAM0016
Kiss of Death,1995,https://www.themoviedb.org/movie/6071,6071,"Crime, Thriller, Drama",kiss of death,FAM0016
Father of the Bride,1950,https://www.themoviedb.org/movie/20758,20758,"Comedy, Romance, Drama",father of the bride,FAM0017
Father of the Bride,1991,https://www.themoviedb.org/movie/11846,11846,"Comedy, Romance, Drama",father of the bride,FAM0017
Father of the Bride,2022,https://www.themoviedb.org/movie/746419,746419,"Romance, Comedy, Drama",father of the bride,FAM0017
Strangers on a Train,1951,https://www.themoviedb.org/movie/845,845,"Crime, Thriller, Drama",strangers on a train,FAM0018
Once You Kiss a Stranger,1969,https://www.themoviedb.org/movie/72774,72774,"Mystery, Thriller",once you kiss a stranger,FAM0018
Once You Meet a Stranger,1996,https://www.themoviedb.org/movie/264769,264769,"Thriller, TV Movie",once you meet a stranger,FAM0018
Dial M for Murder,1954,https://www.themoviedb.org/movie/521,521,"Thriller, Crime, Drama",dial m for murder,FAM0019
A Perfect Murder,1998,https://www.themoviedb.org/movie/1965,1965,"Crime, Thriller, Drama",perfect murder,FAM0019
Murder,2004,https://www.themoviedb.org/movie/20534,20534,"Drama, Thriller",murder,FAM0019
Big Deal on Madonna Street,1958,https://www.themoviedb.org/movie/24382,24382,"Comedy, Crime",big deal on madonna street,FAM0020
Crackers,1984,https://www.themoviedb.org/movie/87235,87235,"Action, Comedy, Crime",crackers,FAM0020
Welcome to Collinwood,2002,https://www.themoviedb.org/movie/9260,9260,"Comedy, Crime",welcome to collinwood,FAM0020
Bedtime Story,1964,https://www.themoviedb.org/movie/40618,40618,Comedy,bedtime story,FAM0021
Dirty Rotten Scoundrels,1988,https://www.themoviedb.org/movie/10141,10141,"Comedy, Crime",dirty rotten scoundrels,FAM0021
The Hustle,2019,https://www.themoviedb.org/movie/449562,449562,"Comedy, Crime",hustle,FAM0021
The Unfaithful Wife,1969,https://www.themoviedb.org/movie/8286,8286,"Crime, Drama, Thriller",unfaithful wife,FAM0022
Unfaithful,2002,https://www.themoviedb.org/movie/2251,2251,"Thriller, Drama, Romance",unfaithful,FAM0022
Hawas,2004,https://www.themoviedb.org/movie/276480,276480,"Romance, Thriller",hawas,FAM0022
Get Carter,1971,https://www.themoviedb.org/movie/1485,1485,"Crime, Thriller",get carter,FAM0023
Payback,1999,https://www.themoviedb.org/movie/2112,2112,"Action, Drama, Crime, Thriller",payback,FAM0023
Get Carter,2000,https://www.themoviedb.org/movie/10461,10461,"Action, Drama, Thriller, Crime",get carter,FAM0023
The Poseidon Adventure,1972,https://www.themoviedb.org/movie/551,551,"Adventure, Drama, Thriller",poseidon adventure,FAM0024
The Poseidon Adventure,2005,https://www.themoviedb.org/movie/28512,28512,"Adventure, Thriller, Action, TV Movie",poseidon adventure,FAM0024
Poseidon,2006,https://www.themoviedb.org/movie/503,503,"Adventure, Action, Drama, Thriller",poseidon,FAM0024
Black Christmas,1974,https://www.themoviedb.org/movie/16938,16938,"Horror, Mystery, Crime",black christmas,FAM0025
Black Christmas,2006,https://www.themoviedb.org/movie/9656,9656,"Horror, Mystery",black christmas,FAM0025
Black Christmas,2019,https://www.themoviedb.org/movie/551808,551808,"Horror, Mystery",black christmas,FAM0025
The Great Gatsby,1974,https://www.themoviedb.org/movie/11034-the-great-gatsby?language=en-US,11034,"Drama, Romance",great gatsby,FAM0026
