Original,Remake(s)
Rear Window (1954),Rear Window (1998)
REC (2007),Quarantine (2008)
Red Dawn (1984),Red Dawn (2012)
Red Dust (1932),Mogambo (1953)
Rendezvous (1935),Pacific Rendezvous (1942)
Retribution (2015),Hard Hit (2021)
,Retribution (2023)
Ringu (1998),The Ring (2002)
RoboCop (1987),RoboCop (2014)
Rollerball (1975),Rollerball (2002)
The Roman Spring of Mrs. Stone (1961),The Roman Spring of Mrs. Stone (2003)
Rome Express (1932),Sleeping Car to Trieste (1948)
The Room (2003),The Room Returns! (2025)
Runaway Daughters (1956),Runaway Daughters (1994)
Sabrina (1954),Sabrina (1995)
Sahara (1943),Last of the Comanches (1953)
Scandal Makers (2008),Scandal Maker (2016)
Scarface (1932),Scarface (1983)
School for Scoundrels (1960),School for Scoundrels (2006)
The Secret Life of Walter Mitty (1947),The Secret Life of Walter Mitty (2013)
The Secret in Their Eyes (El secreto de sus ojos) (2009),Secret in Their Eyes (2015)
Sentimental Journey (1946),The Gift of Love (1958)
Seven Chances (1925),The Bachelor (1999)
The Magnificent Seven (1960),The Magnificent Seven (2016)
The Shaggy Dog (1959),The Shaggy Dog (2006)
Shall We Dance? (1996),Shall We Dance? (2004)
Shame (1988),Shame (1992)
Sideways (2004),Sideways (2009)
Sigaw (2004),The Echo (2008)
Sisters (1973),Sisters (2006)
Siworae (2000),The Lake House (2006)
Snow White and the Seven Dwarfs (1937),Snow White (2025)
Splendor in the Grass (1961),Splendor in the Grass (1981)
Spring Parade (1934),Spring Parade (1940)
Spring in a Small Town (1948),Springtime in a Small Town (2002)
The Squaw Man (1914),The Squaw Man (1918)
,The Squaw Man (1931)
A Star Is Born (1937),A Star Is Born (1954)
, A Star Is Born (1976)
,A Star Is Born (2018)
The Stepfather (1987),The Stepfather (2009)
Stepmom (1998),We Are Family (2010)
A Story of Floating Weeds (1934),Floating Weeds (1959)
Storm Boy (1976),Storm Boy (2019)
Strangers on a Train (1951),Once You Kiss a Stranger (1969)
,Once You Meet a Stranger (1996)
Straw Dogs (1971),Straw Dogs (2011)
Suspect X aka Yôgisha X no kenshin (2008),Perfect Number aka Yong-eui-ja X (2012)
Suspiria (1977),Suspiria (2018)
Swamp Water (1941),Lure of the Wilderness (1952)
The Swan (1925),The Swan (1956)
Swept Away (1974),Swept Away (2002)
The Tall Blond Man with One Black Shoe (1972),The Man with One Red Shoe (1985)
Tarzan the Ape Man (1932),"Tarzan, the Ape Man (1959)"
Taxi (1998),Taxi (2004)
The Ten Commandments (1923),The Ten Commandments (1956)
The Texas Chain Saw Massacre (1974),The Texas Chainsaw Massacre (2003)
That Darn Cat! (1965),That Darn Cat (1997)
The Things of Life (1970),Intersection (1994)
The Thirteenth Guest (1932),Mystery of the 13th Guest (1943)
These Three (1936),The Children's Hour (1961)
This Gun for Hire (1942),Short Cut to Hell (1957)
,This Gun for Hire (1991)
The Thomas Crown Affair (1968),The Thomas Crown Affair (1999)
The Time Machine (1960),The Time Machine (2002)
To Be or Not to Be (1942),To Be or Not to Be (1983)
The Toolbox Murders (1978),Toolbox Murders (2004)
Total Recall (1990),Total Recall (2012)
Trader Horn (1931),Trader Horn (1973)
True Grit (1969),True Grit (2010)
La Totale! (1991),True Lies (1994)
Le jumeau (1984),Two Much (1996)
Twenty Million Sweethearts (1934),My Dream Is Yours (1949)
Two Half Times in Hell (1961),Escape to Victory (1981)
Two Thousand Maniacs! (1964),2001 Maniacs (2005)
Unfaithful (2002),Hawas (2004)
,Murder (2004)
The Unfaithful Wife (1969),Unfaithful (2002)
Unfaithfully Yours (1948),Unfaithfully Yours (1984)
The Unholy Three (1925),The Unholy Three (1930)
Up in Mabel's Room (1926),Up in Mabel's Room (1944)
Up the River (1930),Up the River (1938)
Valley Girl (1983),Valley Girl (2020)
The Vanishing (1988),The Vanishing (1993)
Vanishing Point (1971),Vanishing Point (1997)
Vash (2023),Shaitaan (2024)
Veeram (2014),Kisi Ka Bhai Kisi Ki Jaan (2023)
Victor and Victoria (1933),First a Girl (1935)
,Victor and Victoria (1957)
,Victor/Victoria (1982)
Village of the Damned (1960),Village of the Damned (1995)
The Virginian (1929),The Virginian (1946)
Les Visiteurs (1993),Just Visiting (2001)
The Wages of Fear (1953),Sorcerer (1977)
Walking Tall (1973),Walking Tall (2004)
Waterloo Bridge (1931),Waterloo Bridge (1940)
The Way of All Flesh (1927),The Way of All Flesh (1940)
West Side Story (1961),West Side Story (2021)
We're No Angels (1955),We're No Angels (1989)
When a Stranger Calls (1979),When a Stranger Calls (2006)
What Women Want (2000),What Women Want (2011)
,What Men Want (2019)
Where the Boys Are (1960),Where the Boys Are '84 (1984)
White Men Can't Jump (1992),White Men Can't Jump (2023)
