Movie,Year,TMDB Link,Genre
Flatliners,1990,https://www.themoviedb.org/movie/1551,"Drama, Science Fiction, Horror"
Flatliners,2017,https://www.themoviedb.org/movie/400710,"Drama, Horror, Thriller"
Flight of the Phoenix,2004,https://www.themoviedb.org/movie/11866,"Action, Adventure, Drama"
Flipper,1963,https://www.themoviedb.org/movie/19893,"Adventure, Drama, Family"
Flipper,1996,https://www.themoviedb.org/movie/36355,"Adventure, Family"
Floating Weeds,1959,https://www.themoviedb.org/movie/46918,Drama
Flubber,1997,https://www.themoviedb.org/movie/9574,"Comedy, Family, Science Fiction"
Folies Bergère de Paris,1935,https://www.themoviedb.org/movie/174988,"Comedy, Music"
Footloose,1984,https://www.themoviedb.org/movie/1788,"Drama, Romance"
Footloose,2011,https://www.themoviedb.org/movie/68817,"Drama, Music, Romance"
Forbidden Fruit,1921,https://www.themoviedb.org/movie/72496,"Drama, Romance"
Forrest Gump,1994,https://www.themoviedb.org/movie/13,"Comedy, Drama, Romance"
Four Steps in the Clouds,1942,https://www.themoviedb.org/movie/65477,"Drama, Comedy"
Frankenweenie,1984,https://www.themoviedb.org/movie/33914,"Horror, Family, Science Fiction, Comedy"
Frankenweenie,2012,https://www.themoviedb.org/movie/62214,"Animation, Comedy, Family"
Freaky Friday,1976,https://www.themoviedb.org/movie/16084,"Fantasy, Comedy, Family"
Freaky Friday,2003,https://www.themoviedb.org/movie/10330,"Family, Fantasy, Drama, Comedy"
Free and Easy,1930,https://www.themoviedb.org/movie/42811,"Comedy, Music"
Frenchie,1950,https://www.themoviedb.org/movie/212787,"Western, Drama"
Fright Night,1985,https://www.themoviedb.org/movie/11797,"Comedy, Horror"
Fright Night,2011,https://www.themoviedb.org/movie/58151,"Horror, Comedy"
Fun with Dick and Jane,1977,https://www.themoviedb.org/movie/24109,"Comedy, Crime"
Fun with Dick and Jane,2005,https://www.themoviedb.org/movie/7552,"Comedy, Crime"
Funny Games,1997,https://www.themoviedb.org/movie/10234,"Drama, Horror, Thriller"
Funny Games,2007,https://www.themoviedb.org/movie/8461,"Thriller, Horror"
Gambit,1966,https://www.themoviedb.org/movie/28270,"Comedy, Crime"
Gambit,2012,https://www.themoviedb.org/movie/97434,"Comedy, Crime"
Garde à Vue,1981,https://www.themoviedb.org/movie/5062,"Crime, Drama, Thriller"
Gaslight,1940,https://www.themoviedb.org/movie/55207,"Thriller, Mystery"
Gaslight,1944,https://www.themoviedb.org/movie/13528,"Thriller, Drama, Mystery, Crime"
Get Carter,1971,https://www.themoviedb.org/movie/1485,"Crime, Thriller"
Get Carter,2000,https://www.themoviedb.org/movie/10461,"Action, Drama, Thriller, Crime"
